date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:13:58	4220/4220	---M--	404	error ('Not%20Found')	text/html	etag:W/%22107c-fOOJqrCMdD2eSAiH9FLDAmgodeI%22	http://safe-woodland-91444.herokuapp.com/robots.txt		(from )
22:13:59	2559/2559	U-----	200	untouched ('OK')	text/html	etag:W/%229ff-zZq1NobZw1bIB5vKn7eiN8g0aX8%22	http://safe-woodland-91444.herokuapp.com/	C:/My%20Web%20Sites/Ask%20Here/safe-woodland-91444.herokuapp.com/index.html	(from )
22:14:00	897/897	U-----	200	untouched ('OK')	text/css	etag:W/%22381-17aee4410a0%22	http://safe-woodland-91444.herokuapp.com/stylesheets/home.css	C:/My%20Web%20Sites/Ask%20Here/safe-woodland-91444.herokuapp.com/stylesheets/home.css	(from http://safe-woodland-91444.herokuapp.com/)
22:14:00	5952/5952	U-----	200	untouched ('OK')	text/html	etag:W/%221740-JX3xLygtunT/p9wYYYeHP/fqBzk%22	http://safe-woodland-91444.herokuapp.com/login	C:/My%20Web%20Sites/Ask%20Here/safe-woodland-91444.herokuapp.com/login.html	(from http://safe-woodland-91444.herokuapp.com/)
22:14:00	12144/12144	U-----	200	untouched ('OK')	text/html	etag:W/%222f70-ZSmA2+HwoDqjrRNnrA1gttBehN0%22	http://safe-woodland-91444.herokuapp.com/collegeQuora	C:/My%20Web%20Sites/Ask%20Here/safe-woodland-91444.herokuapp.com/collegeQuora.html	(from http://safe-woodland-91444.herokuapp.com/)
22:14:01	6809/6809	U-----	200	untouched ('OK')	text/html	etag:W/%221a99-J7rlI0BsM6F1JXRHTWSYTyWfcLE%22	http://safe-woodland-91444.herokuapp.com/register	C:/My%20Web%20Sites/Ask%20Here/safe-woodland-91444.herokuapp.com/register.html	(from http://safe-woodland-91444.herokuapp.com/)
22:14:01	154875/154875	U-----	200	untouched ('OK')	text/css	etag:W/%2225cfb-UcVSpq1X1XvRNJScPVMSiB9RqJM%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.0-beta3/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/Ask%20Here/cdn.jsdelivr.net/npm/bootstrap@5.0.0-beta3/dist/css/bootstrap.min.css	(from http://safe-woodland-91444.herokuapp.com/)
22:14:40	155845/155845	U-----	200	untouched ('OK')	text/css	etag:W/%22260c5-fByeBXPlzqi603M74vxjqoxo6o0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.2/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/Ask%20Here/cdn.jsdelivr.net/npm/bootstrap@5.0.2/dist/css/bootstrap.min.css	(from http://safe-woodland-91444.herokuapp.com/collegeQuora)
22:14:41	80427/80427	U-----	200	untouched ('')	application/javascript	etag:W/%2213a2b-LayF+MVECCdqC/PP+pHf1O96P1E%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.0-beta3/dist/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/Ask%20Here/cdn.jsdelivr.net/npm/bootstrap@5.0.0-beta3/dist/js/bootstrap.bundle.min.js	(from http://safe-woodland-91444.herokuapp.com/)
22:14:41	63666/63666	U-----	200	untouched ('OK')	text/css	etag:W/%22f8b2-e/XUGWjVPBAVuMWpokxu9uWIqng%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.0/font/bootstrap-icons.css	C:/My%20Web%20Sites/Ask%20Here/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.0/font/bootstrap-icons.css	(from http://safe-woodland-91444.herokuapp.com/collegeQuora)
